date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-08-30,103166.35847,103167.35847,0.0,290.299988,1.0,27400.0,75767.35847,SHORT_PUT,108880.755546,102387.299878
2018-08-31,103167.35847,103167.35847,0.0,290.309998,0.0,0.0,103167.35847,CASH,108884.479179,102388.300854
2018-09-04,103167.35847,103167.35847,0.0,289.809998,0.0,0.0,103167.35847,CASH,108698.479179,102338.300854
2018-09-05,103136.382764,103444.302684,0.0,289.029999,307.91992,28400.0,75044.302684,SHORT_PUT,108408.319633,102260.300977
2018-09-06,103084.459641,103444.302684,0.0,288.160004,359.843044,28400.0,75044.302684,SHORT_PUT,108084.681449,102173.301465
2018-09-07,103043.463453,103444.302684,0.0,287.600006,400.839232,28400.0,75044.302684,SHORT_PUT,107876.362357,102117.301709
2018-09-10,103084.05557,103444.302684,0.0,288.100006,360.247114,28400.0,75044.302684,SHORT_PUT,108062.362357,102167.301709
2018-09-11,103153.414841,103444.302684,0.0,289.049988,290.887843,28400.0,75044.302684,SHORT_PUT,108415.755546,102262.299878
2018-09-12,103196.101943,103444.302684,0.0,289.119995,248.200741,28400.0,75044.302684,SHORT_PUT,108441.798271,102269.30061
2018-09-13,103258.231777,103444.302684,0.0,290.829987,186.070907,28400.0,75044.302684,SHORT_PUT,109077.915092,102440.299756
2018-09-14,103289.265665,103444.302684,0.0,290.880005,155.037019,28400.0,75044.302684,SHORT_PUT,109096.521903,102445.301587
2018-09-17,103280.986156,103444.302684,0.0,289.339996,163.316528,28400.0,75044.302684,SHORT_PUT,108523.638725,102291.300732
2018-09-18,103292.008791,103444.302684,0.0,290.910004,152.293893,28400.0,75044.302684,SHORT_PUT,109107.681449,102448.301465
2018-09-19,103328.772133,103444.302684,0.0,291.220001,115.530551,28400.0,75044.302684,SHORT_PUT,109223.000541,102479.301221
2018-09-20,103394.272029,103444.302684,0.0,293.579987,50.030655,28400.0,75044.302684,SHORT_PUT,110100.915092,102715.299756
2018-09-21,103377.707448,103444.302684,0.0,291.98999,66.595236,28400.0,75044.302684,SHORT_PUT,110001.592454,102688.600122
2018-09-24,103385.381607,103444.302684,0.0,291.019989,58.921077,28400.0,75044.302684,SHORT_PUT,109640.752,102591.6
2018-09-25,103381.525247,103444.302684,0.0,290.75,62.777437,28400.0,75044.302684,SHORT_PUT,109540.316087,102564.601099
